,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
55,3-Ingredient-Brownies-_Whole30-_-Paleo_-2306591,recipe/3-Ingredient-Brownies-_Whole30-_-Paleo_-2306591,3-Ingredient Brownies (Whole30 + Paleo),130,10.0,3.0,10.0,https://lh3.googleusercontent.com/Nn4Jbq4AS-qG7hzyA9Zayohzvmvy2_2OlOfZhAzTJ0z8sbdBl1igvdDpeDDiLY9dexU2SFwU0wK7y0INAcshag,95853,https://lh3.googleusercontent.com/Nn4Jbq4AS-qG7hzyA9Zayohzvmvy2_2OlOfZhAzTJ0z8sbdBl1igvdDpeDDiLY9dexU2SFwU0wK7y0INAcshag=s640-c-rw-v1-e365
56,Acai-Bowl-9039042,recipe/Acai-Bowl-9039042,Acai Bowl,50,0.5,0.5,10.0,https://lh3.googleusercontent.com/jGfWgXlp3p_f4CzIBrEn9NdTF_kG0o-OekFnb1T-S7vl1R55fqvo5L_r_1ZEvPrO2zGCrDqGMxt9EeZVp8R8Kw,306,https://lh3.googleusercontent.com/jGfWgXlp3p_f4CzIBrEn9NdTF_kG0o-OekFnb1T-S7vl1R55fqvo5L_r_1ZEvPrO2zGCrDqGMxt9EeZVp8R8Kw=s640-c-rw-v1-e365
63,Easy-4-Ingredient-Tortellini-Bake-9085178,recipe/Easy-4-Ingredient-Tortellini-Bake-9085178,Easy 4-Ingredient Tortellini Bake,130,7.0,7.0,11.0,https://lh3.googleusercontent.com/HVlEf_mBceqJwIyAXaco7eQLNXeyyZsEEGu9ENbtQqYTmSRPyZcDkgMfw3sNDccx11ogsXsKZKl2gVLDk-lz,4636,https://lh3.googleusercontent.com/HVlEf_mBceqJwIyAXaco7eQLNXeyyZsEEGu9ENbtQqYTmSRPyZcDkgMfw3sNDccx11ogsXsKZKl2gVLDk-lz=s640-c-rw-v1-e365
66,Instant-Pot-Red-Kidney-Beans-Soup-_V_-9124737,recipe/Instant-Pot-Red-Kidney-Beans-Soup-_V_-9124737,Instant Pot Red Kidney Beans Soup [V],120,8.0,5.0,11.0,https://lh3.googleusercontent.com/j1trffAOBnVp8F-nxItxyfWQZkF76ChcvjDdjIRFbHdVL4CQ--VxKj735VpovalEsZSLhALvT70Auoc9eqXLFg,458,https://lh3.googleusercontent.com/j1trffAOBnVp8F-nxItxyfWQZkF76ChcvjDdjIRFbHdVL4CQ--VxKj735VpovalEsZSLhALvT70Auoc9eqXLFg=s640-c-rw-v1-e365
67,Garlicky-Lemon-Asparagus-9029424,recipe/Garlicky-Lemon-Asparagus-9029424,Garlicky Lemon Asparagus,70,3.5,3.0,11.0,https://lh3.googleusercontent.com/GWfd3VBjhf6XEnI2Ey8pQJRMXPutSoV7zSWkU0Ei7doBnjd8wjnPE5O8wTfZSC10bWvVloY4OqeEqTyIgnCCgQ,9070,https://lh3.googleusercontent.com/GWfd3VBjhf6XEnI2Ey8pQJRMXPutSoV7zSWkU0Ei7doBnjd8wjnPE5O8wTfZSC10bWvVloY4OqeEqTyIgnCCgQ=s640-c-rw-v1-e365
68,Crunchy-Taco-Cups-2539557,recipe/Crunchy-Taco-Cups-2539557,Crunchy Taco Cups,160,7.0,13.0,11.0,https://lh3.googleusercontent.com/NGBIgiu4PueGyu3Bi-8Mkcv_kr1ImFO5OrWl3wigtdjOSQXzIctMTxmLjUCZFqWBgkcEh4m8ExZDYWtjSaLe,88818,https://lh3.googleusercontent.com/NGBIgiu4PueGyu3Bi-8Mkcv_kr1ImFO5OrWl3wigtdjOSQXzIctMTxmLjUCZFqWBgkcEh4m8ExZDYWtjSaLe=s640-c-rw-v1-e365
69,Basic-Crepes-2302301,recipe/Basic-Crepes-2302301,Basic Crêpes,120,7.0,4.0,11.0,https://lh6.ggpht.com/GTZX6mxONf96AmZqR7_cTPR2C33wgxKZKDPWVB9qa1875CuIUqtNxTwp1EtGPdJ7SmcPemQAH0iPjvB_jknw,12556,https://lh6.ggpht.com/GTZX6mxONf96AmZqR7_cTPR2C33wgxKZKDPWVB9qa1875CuIUqtNxTwp1EtGPdJ7SmcPemQAH0iPjvB_jknw=s640-c-rw-v1-e365
70,Fried-Cabbage-9062083,recipe/Fried-Cabbage-9062083,Fried Cabbage,100,5.0,3.0,11.0,https://lh3.googleusercontent.com/bMk2hZBq_kxTkGehVSrd3KT7mUDFZJbhJz0HkEp1d4qfNgAN8c0wQPxckSgMwlG4DSdP2ZYO9jUcWPQC4h2v,1491,https://lh3.googleusercontent.com/bMk2hZBq_kxTkGehVSrd3KT7mUDFZJbhJz0HkEp1d4qfNgAN8c0wQPxckSgMwlG4DSdP2ZYO9jUcWPQC4h2v=s640-c-rw-v1-e365
71,10-Minute-Teriyaki-Sauce-2440242,recipe/10-Minute-Teriyaki-Sauce-2440242,10 Minute Teriyaki Sauce,45,0.0,0.0,11.0,https://lh3.googleusercontent.com/ALablzuZKcMHGnIg2G033pjIclZqZ5enFdQR0lbjzR0m9w7I7R0iDil1KtoSRmc10b_0M1-aBPc6XwDVM9KC,1691,https://lh3.googleusercontent.com/ALablzuZKcMHGnIg2G033pjIclZqZ5enFdQR0lbjzR0m9w7I7R0iDil1KtoSRmc10b_0M1-aBPc6XwDVM9KC=s640-c-rw-v1-e365
72,Easy-Crepe-2706729,recipe/Easy-Crepe-2706729,Easy Crepe,90,3.5,3.0,11.0,https://lh3.googleusercontent.com/Ui_IIvWKAhur2Tyc8NTG2RHUhFAb64n2KT039KABvh6sKl5ALYQVDHDY6IPxAUeIFXdCP2tpjZGYEkQaYED_TCE,698,https://lh3.googleusercontent.com/Ui_IIvWKAhur2Tyc8NTG2RHUhFAb64n2KT039KABvh6sKl5ALYQVDHDY6IPxAUeIFXdCP2tpjZGYEkQaYED_TCE=s640-c-rw-v1-e365
75,Country-Sausage-Gravy-2327695,recipe/Country-Sausage-Gravy-2327695,Country Sausage Gravy,150,9.0,7.0,11.0,https://lh3.googleusercontent.com/wDUnYkSN6RSKu5-ihcttG0izKTC3q9jdVJlH23LX0N0YhNkbS-b9GUHtLjx-gIghqdbsHzRassEIUXS_x_ejSiM,1195,https://lh3.googleusercontent.com/wDUnYkSN6RSKu5-ihcttG0izKTC3q9jdVJlH23LX0N0YhNkbS-b9GUHtLjx-gIghqdbsHzRassEIUXS_x_ejSiM=s640-c-rw-v1-e365
76,Classic-Chicken-Salad-2634470,recipe/Classic-Chicken-Salad-2634470,Classic Chicken Salad,180,15.0,1.0,11.0,https://lh3.googleusercontent.com/cTFR7Eoi8lWhXi4y01h3qomuiy2wPLiCanB_smcDUyH2tfVC5VlvjcSngY7Ph1Tt8hU-YwONwlw0BSDrmEvA5Q,4537,https://lh3.googleusercontent.com/cTFR7Eoi8lWhXi4y01h3qomuiy2wPLiCanB_smcDUyH2tfVC5VlvjcSngY7Ph1Tt8hU-YwONwlw0BSDrmEvA5Q=s640-c-rw-v1-e365
77,Garlic-Roasted-Broccoli-2684142,recipe/Garlic-Roasted-Broccoli-2684142,Garlic Roasted Broccoli,130,9.0,5.0,11.0,https://lh3.googleusercontent.com/u-8_EEQK41LoVwi_GT9-EfCr5TksSeDH_dqeDivWNrVMBJ3rL8qirYDLfbNHGMFxKSv5FUXbdE6XR_Or9oSH8Q,14304,https://lh3.googleusercontent.com/u-8_EEQK41LoVwi_GT9-EfCr5TksSeDH_dqeDivWNrVMBJ3rL8qirYDLfbNHGMFxKSv5FUXbdE6XR_Or9oSH8Q=s640-c-rw-v1-e365
78,Easy-Honey-Balsamic-Asparagus-9029420,recipe/Easy-Honey-Balsamic-Asparagus-9029420,Easy Honey-Balsamic Asparagus,80,3.5,3.0,11.0,https://lh3.googleusercontent.com/2mXa0SpProE1JQ441Z4YEkC1V_sCgLyK1mklKdZg8RYT4NMgyV0SYkqiJcOPLwtx9eexrSvOLiMQqRG7S_2NQQ,7159,https://lh3.googleusercontent.com/2mXa0SpProE1JQ441Z4YEkC1V_sCgLyK1mklKdZg8RYT4NMgyV0SYkqiJcOPLwtx9eexrSvOLiMQqRG7S_2NQQ=s640-c-rw-v1-e365
80,Secret-Detox-Drink-1725388,recipe/Secret-Detox-Drink-1725388,Secret Detox Drink,45,0.0,0.0,11.0,https://lh3.googleusercontent.com/v_hMSUReKcuxj_AUyjO3QGqceQUi3cDuZyJIGZ-eZt3mRlCelEnVCAnyjGqy5q5X2USaLZSm6KllTR74rbg20Q,149260,https://lh3.googleusercontent.com/v_hMSUReKcuxj_AUyjO3QGqceQUi3cDuZyJIGZ-eZt3mRlCelEnVCAnyjGqy5q5X2USaLZSm6KllTR74rbg20Q=s640-c-rw-v1-e365
81,Garlic-Butter-Sauteed-Corn-2629620,recipe/Garlic-Butter-Sauteed-Corn-2629620,Garlic Butter Sautéed Corn,190,9.0,17.0,11.0,https://lh3.googleusercontent.com/VK5GCSiHOEN6b6Hoa1rizKnLBfZ2YgFsNJpZfk3h7b5NKVyWCwFMmXmJD42dWguIG_nKno4kI9VatSuXDRy1oRs,2386,https://lh3.googleusercontent.com/VK5GCSiHOEN6b6Hoa1rizKnLBfZ2YgFsNJpZfk3h7b5NKVyWCwFMmXmJD42dWguIG_nKno4kI9VatSuXDRy1oRs=s640-c-rw-v1-e365
82,Baked-Ranch-Parmesan-Chicken-2428578,recipe/Baked-Ranch-Parmesan-Chicken-2428578,Baked Ranch Parmesan Chicken,180,13.0,5.0,11.0,https://lh3.googleusercontent.com/-g3Evjw69c2s9kpgOlg8sQkOt9wSgO-cIJP2e7zESoMDiv4DjL5CO8FkA1iy973DqmnqZP4Rz1uEg1KNYlCvCA,290547,https://lh3.googleusercontent.com/-g3Evjw69c2s9kpgOlg8sQkOt9wSgO-cIJP2e7zESoMDiv4DjL5CO8FkA1iy973DqmnqZP4Rz1uEg1KNYlCvCA=s640-c-rw-v1-e365
