name,fat,protein,carb,calories,recipeLink,recipeName,recipeUrl,click_count
Easy-Garlic-Herb-Baked-Salmon-9029448,2.0,4.0,10.0,80,recipe/Easy-Garlic-Herb-Baked-Salmon-9029448,Easy Garlic-Herb Baked Salmon,https://lh3.googleusercontent.com/W8ZANYAF2H2Lfesc2j49-8To6y1INnUSWHLbkJg69lq88-uo75y5kkn_815Tk9UPvtwaAkQtVTwkm9oKCpIUd2Q,11456
Blueberry-Banana-Smoothie-2632835,9.0,49.0,10.0,320,recipe/Blueberry-Banana-Smoothie-2632835,Blueberry Banana Smoothie,https://lh3.googleusercontent.com/czZ57tM-BliVmbP9cunQSw9pApyhMPgauyxARPPtc_AVJO1Ib0CvjYuy6EbVR5fInLanpkA5HQk9VA668YoN,9156
Flat-Belly-_-Weight-Loss-Detox-Water-9056941,5.0,5.0,10.0,110,recipe/Flat-Belly-_-Weight-Loss-Detox-Water-9056941,Flat Belly & Weight Loss Detox Water,https://lh3.googleusercontent.com/nfwrULuzmgogsG5mXY1m_I1_ysZskSCuLrowETl81GtFSeaOMD6ph6yIv2vpUy4WDbBFIBFiFyQc16gkxs0KSg,10596
Zucchini-Noodles-with-Cherry-Tomatoes-2262994,5.0,3.0,10.0,90,recipe/Zucchini-Noodles-with-Cherry-Tomatoes-2262994,Zucchini Noodles with Cherry Tomatoes,https://lh3.googleusercontent.com/Fyilv-dy6ed04tak_GF5K65qcFnna6jS5rPoF1VkcQV4CP1bVX6CGCynfTmtjqegXvU3pkL7xzBNh8PUUmaT5XE,83205
Bang-Bang-Cauliflower-2415729,10.0,29.0,10.0,250,recipe/Bang-Bang-Cauliflower-2415729,Bang Bang Cauliflower,https://lh3.googleusercontent.com/4MRM3w6EWRljH97zKFf9t4L-W7TBwneqLGnd9dJiHfbe-toEoIJd8x5FBJWxW6PNVl-QArIkXmFFqaRiP67e,3028
Homemade-Beignets-1109985,1.0,2.0,10.0,60,recipe/Homemade-Beignets-1109985,Homemade Beignets,https://lh3.googleusercontent.com/QXKaJK28agi6KMemvipj8iyniBtEVdkIBk5mT8dKF31T6B7iuO4zB4tLdzf8QJpliyV9xLyz-2IgvWP339TqhQ,2593
Parmesan-Roasted-Carrots-2625410,10.0,3.0,10.0,130,recipe/Parmesan-Roasted-Carrots-2625410,Parmesan Roasted Carrots,https://lh3.googleusercontent.com/lPIRY-sM4l91IoLg971Ivp7neSuyvidgf1hEZi6SYo6qEUZbMhggAa_qmyguR5wtGaSvI_2FW5SPt4jnNRsGNA,2215
3-Ingredient-Brownies-_Whole30-_-Paleo_-2306591,10.0,3.0,10.0,130,recipe/3-Ingredient-Brownies-_Whole30-_-Paleo_-2306591,3-Ingredient Brownies (Whole30 + Paleo),https://lh3.googleusercontent.com/Nn4Jbq4AS-qG7hzyA9Zayohzvmvy2_2OlOfZhAzTJ0z8sbdBl1igvdDpeDDiLY9dexU2SFwU0wK7y0INAcshag,95853
Best-Green-Bean-Casserole-9105122,19.0,25.0,10.0,310,recipe/Best-Green-Bean-Casserole-9105122,Best Green Bean Casserole,https://lh3.googleusercontent.com/ZeN0e5QhFL5lL7qB0VTkYq9TsyCvr83pHjPyQo-Ic6LDxtkz9hXvRNmQXeydytIJCJzwn_uayVT_F1rFepcuJw,3257
Oven-Baked-BBQ-Baby-Back-Ribs-2436621,34.0,16.0,10.0,420,recipe/Oven-Baked-BBQ-Baby-Back-Ribs-2436621,Oven Baked BBQ Baby Back Ribs,https://lh3.googleusercontent.com/CHLue6ohEEaWm1KU-lqFTw7IUDF_gUkcm1T3vfS7VeoG2Jlz7xKUNdYy2g8OVPF4vaS0aZS1xZgYD47AhCeT,2306
Cheesy-Garlic-Texas-Toast-Heaven-1175205,0.0,0.5,10.0,40,recipe/Cheesy-Garlic-Texas-Toast-Heaven-1175205,Cheesy Garlic Texas Toast Heaven,https://lh3.googleusercontent.com/maFepAT7JnOnGzHcFzF_N__AEXe518z8IBr15WYJKXbzf0d6PByUn_4x9Geo2TMUEDWF_SzbCm0Vu9AJk8gl,2315
Simple-One-Hour-Homemade-Bread-2130585,0.5,0.5,10.0,50,recipe/Simple-One-Hour-Homemade-Bread-2130585,Simple One Hour Homemade Bread,https://lh3.googleusercontent.com/F6Ea7Sf88f1-5xYGsxgvgFhn5dcdzHQBu_lY26yHYSlq6T-nYSyWnVvQvzP5LZo9fK01Ke9dje7Y7254Ha45,10424
Blueberry-Chia-Overnight-Oats-2618497,2.5,2.0,10.0,70,recipe/Blueberry-Chia-Overnight-Oats-2618497,Blueberry Chia Overnight Oats,https://lh3.googleusercontent.com/zrBhGD_gZSIoyhgRAD1kBkKUHxB_98FA9dE-woKdsWSVgrCNwr0aUGMbLlDasN2RvbGBKdawGnNspPFvYhdH,2656
Garlic-Butter-Steak-Bites-with-Zucchini-Noodles-Meal-Prep-2622751,0.0,1.0,10.0,30,recipe/Garlic-Butter-Steak-Bites-with-Zucchini-Noodles-Meal-Prep-2622751,Garlic Butter Steak Bites with Zucchini Noodles Meal Prep,https://lh3.googleusercontent.com/vZyx1h9qfkEIABolmj8FTrm_0E5dl2ybRpmA4ev0qcXargm_MS-k976F4XZXw_BhA2e3iu263x1FtB_hr4hz,3211
Pb-and-J-Burrito-2663682,11.0,1.0,10.0,130,recipe/Pb-and-J-Burrito-2663682,Pb and J Burrito,https://lh3.googleusercontent.com/qjavmwInhlwOamlc4SA34u-lJv-wvXJDzkJPD61B89KOc3KlXX4LwiR_SS648gYb206Vgh7jxPH5EuNjaZRKiw,11793
Easy-Cheesy-Garlic-Bread-9061271,0.5,2.0,10.0,50,recipe/Easy-Cheesy-Garlic-Bread-9061271,Easy Cheesy Garlic Bread,https://lh3.googleusercontent.com/MmycPqDaxzErYOTD5Nid_k3SfFEHiRjAKRFkTYemFYCCmEpnMTbK3-JFhwK83KFYpc4-0EEgbFTD7f-GLLfDbQ,727
Mashed-Potato-Gnocchi-with-Thanksgiving-Trimmings-9119054,7.0,3.0,10.0,110,recipe/Mashed-Potato-Gnocchi-with-Thanksgiving-Trimmings-9119054,Mashed Potato Gnocchi with Thanksgiving Trimmings,https://lh3.googleusercontent.com/mE6ddgk7L37o6jwZy4R_9jhfoQr1oIXeqhgEn9JgX6PS9C6oIecEiQDn8ROZOGDP86TOf6iBEstAqzPkv3OgIA,192
Calico-Cabbage-2682677,20.0,6.0,10.0,240,recipe/Calico-Cabbage-2682677,Calico Cabbage,https://lh3.googleusercontent.com/4cIdbsEjgmS0HgC_hRDQRRBYvmW8vm1PClXrNdSrur2ybxjWCAb5Jjl1tAYwEBZBWny_G_bu4LKYURXBISlK,13176
Avocado-Toast-2451824,20.0,9.0,10.0,240,recipe/Avocado-Toast-2451824,Avocado Toast,https://lh3.googleusercontent.com/rlrcPC5x_s3OaxaPasTPVtKpVZFC3c3OueEsLiGWxK8nOco9g7xxyg-06Q2qbRmJqAs0fFvWbqfPKtXgMNucRw,4612
Strawberry-Muffins-2071448,0.0,1.0,10.0,35,recipe/Strawberry-Muffins-2071448,Strawberry Muffins,https://lh3.googleusercontent.com/1Dh9LwqykWU1UZlWihR2VY6M4eZBMG4z008DN42JeK_tZ1Pu1QLZCrGpR7zZ0H-1zyLOpS9Djb1hlEn-z8RmsPc,4993
Low-Calorie-and-Low-Fat-Tuna-Wrap-2604936,3.0,7.0,10.0,100,recipe/Low-Calorie-and-Low-Fat-Tuna-Wrap-2604936,Low-Calorie and Low-Fat Tuna Wrap,https://lh3.googleusercontent.com/65d2yJWpZP0O3l3fKfiHMEtPM6HrDrq3b7lIPpjANFmIaQsxif6CkQniyvrvGQ5vZVUq-SyPGlaCStbqatqtxQ,7677
Sex-on-the-Beach-2637922,41.0,6.0,100.0,780,recipe/Sex-on-the-Beach-2637922,Sex on the Beach,https://lh3.googleusercontent.com/nrpi-YmxcKfqn8ZcfP49I39oEey1a1CDvR81CA0bMg3nOZ3OlbAyoeurE8ZvHRtuA7Y-iF9_FRXqZO39IYOpeQ,3289
